month,day,t,DemH1,DemH2,GenE,DemE,OwnUseF,OwnUse,TempOutM,DemH1 (MWh),DemH2/h(MWh),Electricity load (MWh)
Apr15,1,91,7453.5794527189855,5515.3803609075,12038.384,9058.710000000001,1489.837,0.12375722522225574,-14.67,8662.550039950003,6409.975055446696,9058.710000000001
Apr15,2,92,7209.0518053972355,5448.803202597798,11883.748,8942.669999999998,1470.539,0.12374370442725645,-12.05,8378.360008232667,6332.5990820591605,8942.669999999998
Apr15,3,93,6427.176568112489,4770.101063631289,11836.344,8900.035999999998,1468.154,0.12403779410263846,-10.27,7469.664607460334,5543.811456152284,8900.035999999998
Apr15,4,94,5740.200004132824,4228.5754540980815,11092.584,8357.982000000002,1367.301,0.12326262302814203,-6.9,6671.260444803167,4914.45039275279,8357.982000000002
Apr15,5,95,6150.535223721893,4518.318594051877,11663.984,8797.882000000001,1433.051,0.12286119391110274,-4.8,7148.152037009583,5251.189870007091,8797.882000000001
Apr15,6,96,6004.510074986271,5109.69768527355,12311.948,9370.32,1470.814,0.11946233041270155,-4.5,6978.441609149044,5938.490649824919,9370.32
Apr15,7,97,4809.560589577752,4518.120685106223,12024.004,9136.104,1443.95,0.120088948739538,0.96,5589.671317207262,5250.959860230452,9136.104
Apr15,8,98,3528.178317115134,3979.1965699426787,12218.748,9352.137999999999,1433.305,0.11730375321595961,-0.71,4100.448840151209,4624.622253587381,9352.137999999999
Apr15,9,99,4115.838219013116,4009.242485717615,11947.152,9056.116,1445.518,0.12099268511859564,3.37,4783.4271781370435,4659.541616901012,9056.116
Apr15,10,100,4227.01054077498,4327.400941197525,11954.964,9058.056,1448.454,0.12115921051707056,7.56,4912.631650488681,5029.305373859763,9058.056
Apr15,11,101,4423.8809764789185,4432.115215949351,11370.8,8591.27,1389.765,0.12222227108031099,11.67,5141.434470863798,5151.004303976336,8591.27
Apr15,12,102,4095.713876725913,4432.6456465583005,11809.544,9116.264000000001,1346.64,0.1140298050458172,5.08,4760.0386675308555,5151.620770430057,9116.264000000001
Apr15,13,103,4061.778259792815,4150.559780391519,11908.876,9195.398000000001,1356.739,0.11392670475366441,2.76,4720.598693531209,4823.780576771022,9195.398000000001
Apr15,14,104,3877.854937707704,3844.3861089675806,10628.924,7988.316000000001,1320.304,0.12421802997180147,4.63,4506.843008603893,4467.945535842122,7988.316000000001
Apr15,15,105,3996.4075546631398,3561.3238314368004,10434.948,7932.244,1251.352,0.11991933261191144,7.21,4644.6248600295,4138.970556895849,7932.244
Apr15,16,106,3799.7655270765968,3657.0364156113255,10285.348,7842.196000000001,1221.576,0.1187685628138202,5.67,4416.08749556842,4250.207722223482,7842.196000000001
Apr15,17,107,3570.582592148804,3672.2770296579333,10500.76,7896.697999999999,1302.031,0.12399397757876572,6.0,4149.731088595339,4267.920363868449,7896.697999999999
Apr15,18,108,3369.301499793888,3288.8060270687474,10408.364,7799.4580000000005,1304.453,0.12532738094094326,9.88,3915.8022030604566,3822.2503646592977,7799.4580000000005
Apr15,19,109,3479.9220844267024,3475.6614682604554,10572.332,8040.558,1265.887,0.11973583500782986,10.67,4044.3654465207132,4039.413758412301,8040.558
Apr15,20,110,3199.588577666669,3311.936602812804,10550.384,7996.324,1277.03,0.12104109196404604,13.65,3718.5618449642025,3849.13271978904,7996.324
Apr15,21,111,3256.8218029402624,3416.214525940242,10230.352,7720.514000000001,1254.919,0.1226662582089062,15.98,3785.0782993771727,3970.324522047749,7720.514000000001
Apr15,22,112,2967.5224479980693,3209.8466266879022,10399.608,7882.977999999999,1258.315,0.12099638755614635,16.08,3448.854589063356,3730.4837495366796,7882.977999999999
Apr15,23,113,1375.4184277107097,3579.467313149858,8909.248,6731.002,1089.123,0.12224634447261992,17.54,1598.5112966853867,4160.056911342765,6731.002
