month,day,t (day N),DemHeat,DemSteam,GenE,DemE (F - F*OwnUse%),OwnUse,Temp.Out(Deg.C),Heat load (MW),Steam load (MW),Electricity load (MW)
May19,26,146,1409.246208,1423.4718510940652,5719.595826086956,4747.264535652173,0.17,9,68.24274762239999,68.9316243892301,197.80268898550722
May19,27,147,736.109856,2190.7850688100775,5194.39547826087,4311.3482469565215,0.17,11,35.6461197768,106.08876695712799,179.63951028985505
May19,28,148,684.981576,1971.2928788036775,5271.147304347826,4375.052262608696,0.17,15,33.1702328178,95.45985765606808,182.29384427536232
May19,29,149,679.28268,1495.1688940697422,5528.939826086955,4589.020055652172,0.17,20,32.894263779,72.40355369532726,191.20916898550718
May19,30,150,241.806192,1622.3922270992475,4959.517217391305,4116.399290434783,0.17,20,11.709464847599998,78.56434359728105,171.5166371014493
May19,31,151,771.1162320000001,1543.2507875871402,4970.971826086956,4125.906615652173,0.17,16,37.3413035346,74.73191938890726,171.91277565217388
Jun19,1,152,754.3679999999999,1672.6197326996241,4648.900608695652,3839.991902782609,0.174,19,36.53027039999999,80.99661055597929,159.99966261594204
Jun19,2,153,685.0464000000001,1657.1994215268842,4271.254347826087,3528.056091304348,0.174,16,33.17337192,80.24988198743937,147.00233713768117
Jun19,3,154,703.488,1286.2892848127256,4413.806608695652,3645.804258782609,0.174,18,34.0664064,62.28855861705623,151.90851078260872
Jun19,4,155,747.7044000000001,1318.3394966629778,4311.610869565218,3561.3905782608704,0.174,16,36.20758557,63.8405901259047,148.39127409420294
Jun19,5,156,1368.257736,1716.664871963006,3726.775130434782,3078.31625773913,0.174,20,66.2578808658,83.12949642480855,128.26317740579708
Jun19,6,157,991.6800000000001,1637.8710359898146,3843.796782608696,3174.976142434783,0.174,14,48.022104000000006,79.31390491780677,132.2906726014493
Jun19,7,158,787.54512,2138.038889134493,4107.32852173913,3392.6533589565215,0.174,15,38.136872436,103.53453320633781,141.3605566231884
Jun19,8,159,1222.813968,2296.413496841527,5287.232956521739,4367.254422086957,0.174,17,59.21476640039999,111.20382358455093,181.9689342536232
Jun19,9,160,1026.06984,2309.1147423781613,5800.159826086955,4790.932016347825,0.174,15,49.687432002,111.81888139966246,199.62216734782604
Jun19,10,161,1047.216,1933.7304573727624,5694.415913043478,4703.587544173914,0.174,14,50.711434799999985,93.64089739827601,195.98281434057972
Jun19,11,162,897.8399999999999,1979.681512117427,5727.419913043477,4730.848848173912,0.174,18,43.47790199999999,95.8660772242864,197.11870200724636
Jun19,12,163,805.0464,2158.4080460244377,5678.03504347826,4690.056945913043,0.174,21,38.984371919999994,104.52090962873338,195.41903941304346
Jun19,13,164,881.76,2209.6938807929346,5412.582521739131,4470.793162956523,0.174,21,42.699228,107.00442617739786,186.28304845652178
Jun19,14,165,1020.24,2354.949372429578,4486.968521739131,3706.235998956522,0.174,14,49.405122,114.03842335990231,154.42649995652175
Jun19,15,166,948.48,1814.2845155489786,4271.935565217391,3528.618776869565,0.174,14,45.93014399999999,87.85672766545927,147.0257823695652
Jun19,16,167,962.8799999999999,2083.097474298497,3918.821999999999,3236.9469719999993,0.174,12,46.627463999999996,100.87399519290472,134.87279049999998
Jun19,17,168,996.72,1106.7855201883028,5285.9259999999995,4366.174875999999,0.174,15,48.266166,53.596088815118556,181.92395316666662
Jun19,18,169,876.48,1010.4366912056298,5433.047130434783,4487.696929739131,0.174,16,42.443543999999996,48.930396771632616,186.98737207246378
Jun19,19,170,860.64,944.5398431907464,4824.348260869565,3984.911663478261,0.174,15,41.676491999999996,45.73934190651189,166.03798597826088
Jun19,20,171,832.3199999999999,1087.1837511447354,4030.9911304347834,3329.5986737391313,0.174,17,40.30509599999999,52.64687314918381,138.7332780724638
